Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/12/2015,6,6
B00485,EARLY BIRD CAR SERVICE INC,07/13/2015,6,4
B02175,MURRAY'S LIMOUSINE SERVICE INC.,07/13/2015,6,5
B02287,"ROAD NEW YORK ENTERPRISES, INC.",07/13/2015,6,3
B02633,USHLS CORP,07/13/2015,6,4
B00485,EARLY BIRD CAR SERVICE INC,07/14/2015,6,5
B01928,DISCOVER LIMO INC,07/14/2015,6,3
B02127,"CONTINENTAL RIDE, INC.",07/14/2015,6,3
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/14/2015,6,6
B00485,EARLY BIRD CAR SERVICE INC,07/15/2015,6,5
B01727,"CHAUFFEUR SERVICES, INC.",07/15/2015,6,4
B01957,"ANIMO, INC",07/15/2015,6,2
B01928,DISCOVER LIMO INC,07/16/2015,6,6
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/16/2015,6,6
B02073,"STARGATE LIMOUSINE, INC.",07/17/2015,6,5
B02681,DIRECT CAR & LIMO SERVICE INC.,07/17/2015,6,2
B01846,ROMANTIQUE LIMOUSINE INC.,07/18/2015,6,6
B02681,DIRECT CAR & LIMO SERVICE INC.,07/19/2015,6,4
B02694,CITY LIMOUSINE TRANSPORTATION INC.,07/19/2015,6,6
