Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B01734,AMERICAN DREAM CAR SERVICE INC.,04/11/2015,4, -   
B01846,ROMANTIQUE LIMOUSINE INC.,04/11/2015,4,4
B01970,GRAFE STREET SERVICE CORP.,04/11/2015,4,3
B02564,LAGUARDIA LUXURY CAR & LIMO,04/11/2015,4,2
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",04/11/2015,4,4
B02695,SEE USA TOURS INC.,04/11/2015,4,1
B02718,CHURCHILL EXECUTIVE CARS INC,04/11/2015,4,2
B02751,RELIANCE GROUP INC,04/11/2015,4,3
B02754,TIGER CAR SERVICE INC.,04/11/2015,4,1
B00623,MANHATTAN INT'L LIMO NETWORK LLC,04/12/2015,4,3
B01849,JOE PAL LIMOUSINE LTD,04/12/2015,4,2
B01912,"CAR 24 TRANSPORTATION, INC",04/12/2015,4, -   
B01928,DISCOVER LIMO INC,04/12/2015,4,3
B02096,"CET GROUP, INC",04/12/2015,4,4
B02470,CRI LIMO INC.,04/12/2015,4,2
B02629,CARLUX LIMO INC.,04/12/2015,4,3
B02727,OSCAR LIMOUSINE INC,04/12/2015,4,3
B02182,"FINEST CAR SERVICE, LLC",04/13/2015,4,2
B02667,LEON LUXURY LIMO INC,04/13/2015,4,3
B00035,LOTUS RIDE INC,04/14/2015,4,2
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,04/14/2015,4,3
B01928,DISCOVER LIMO INC,04/14/2015,4,2
B02252,ASIANA LIMOUSINE INC.,04/14/2015,4,3
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,04/14/2015,4,4
B01727,"CHAUFFEUR SERVICES, INC.",04/15/2015,4,3
B02026,A RIDE FOR ALL LLC,04/15/2015,4,1
B02673,CONCORDE LIMOUSINE INC,04/15/2015,4,4
B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,04/15/2015,4,4
B02718,CHURCHILL EXECUTIVE CARS INC,04/15/2015,4,3
B02182,"FINEST CAR SERVICE, LLC",04/16/2015,4,2
B02216,"FEDERAL TRANSIT, INC",04/16/2015,4,1
B02436,FEDERAL TRANSIT NY INC.,04/16/2015,4,1
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,04/17/2015,4,2
B01957,"ANIMO, INC",04/17/2015,4,1
B02216,"FEDERAL TRANSIT, INC",04/17/2015,4,1
B02547,NICK CAR & LIMO SERVICE INC.,04/17/2015,4,3
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",04/17/2015,4,4
b00881,CROSSBAY CAR SERVICE INC.,04/18/2015,4,4
B01734,AMERICAN DREAM CAR SERVICE INC.,04/18/2015,4, -   
B02564,LAGUARDIA LUXURY CAR & LIMO,04/18/2015,4,2
B01849,JOE PAL LIMOUSINE LTD,04/19/2015,4,4
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",04/19/2015,4, -   
